text,type
ನನ್ನ ಜೀವನದಲ್ಲಿ ಸದಾ ಶಾಂತಿ ಇರುತ್ತದೆ,EMOTION
ನಾನು ಇಂದು ಮನಸ್ಸು ತುಂಬಾ ಕೆಳಗಿಳಿದಿದ್ದೇನೆ,EMOTION
ನನಗೆ ಇನ್ನೂ ತುಂಬಾ ಕೆಲಸವಿದೆ,NOEMOTION
ನನ್ನ ಮುಖ ಬಹಳ ಕಿರುಚಿದೆ,EMOTION
ನಾನು ಸಂತೋಷ್,NOEMOTION
ನಾನು ಈಗ ವಿಶ್ರಾಂತಿಯನ್ನು ಕೊಡಬೇಕಾಗಿದೆ,EMOTION
ನಾನು ಕ್ರಿಕೆಟ್ ಆಡುವುದು ಇಷ್ಟವಿಲ್ಲ,NOEMOTION
ನನ್ನ ಹೃದಯ ಸದಾ ಬಡಿದೆರೆಯಿಂದ ತುಂಬಿದೆ,EMOTION
ನಾನು ಅನುಭವಿಸಿದ ಅನುಭವಗಳು ನನ್ನ ಮೇಲೆ ಅಗಾಧ ಪ್ರಭಾವ ಬೀರಿದ್ದುವು,EMOTION
ನಾನು ನಿಜವಾಗಿಯೂ ಕಾಲೇಜಿಗೆ ಹೋಗುವುದಿಲ್ಲ,NOEMOTION
ನನ್ನ ಮನಸ್ಸಿನಲ್ಲಿ ಸದಾ ತುಂಬಾ ಸಂತೋಷ ಇರುತ್ತದೆ,EMOTION
ನಾನು ಇಂದು ಕುಳಿತು ಕಾಣುತ್ತಿರುವ ಸೂರ್ಯನು ಅದ್ಭುತವಾಗಿ ಕಾಣಿಸುತ್ತಿದೆ,EMOTION
ನನ್ನ ಮನಸ್ಸು ಆನಂದದಿಂದ ತುಂಬಿದೆ,EMOTION
ಅವರ ನಗುವಿನ ಹಿಂದೆ ಒಂದು ಕಾರಣವಿತ್ತು,EMOTION
ನಾನು ಈಗ ನೋವಿನಲ್ಲಿ ನಿರಾಸೆ ಅನುಭವಿಸುತ್ತಿದ್ದೇನೆ,EMOTION
